index,name,volume,strenght,date_of_production,bottles,strength,comments
1,Heritage Wine (semi-sweet),750,,2018-01-01,1,12,
2,rum,350,,2022-01-01,1,40,
3,cytrynowka,150,,2022-01-01,1,40,
4,rum,400,,2022-01-01,1,40,
5,rakija,500,,2023-07-16,1,40,
6,cytrynowka,200,,2020-01-01,1,60,
7,rum wÄ™dzony,400,,2021-01-01,1,40,
8,pliska,150,,2019-01-01,1,40,
9,rum,400,,2022-01-01,1,40,
10,ouzo,200,,2022-01-01,1,22,
11,cydr,700,,2021-01-01,1,10,
12,Rosso de Puglia,700,,2016-01-01,1,12,
13,cydr,750,,2021-01-01,1,10,
14,pigwa,350,,2022-07-17,1,50,
15,brandy,600,,1995-01-01,1,40,
16,wino czerwone,700,,2023-07-17,1,12,
17,prosecco ,750,,2023-07-17,1,10,
18,singleton,350,,2022-01-01,1,40,
19,chivas 12,500,,2022-01-01,1,40,
20,rum,700,,2023-07-17,1,50,
21,grants ,200,,2023-07-20,1,40,
22,Gin,200,,2023-08-27,1,40,
